T, G

1.0, -1064.517611
20.0, -1064.519213
40.0, -1064.521363
60.0, -1064.523885
80.0, -1064.526753
100.0, -1064.529946
120.0, -1064.533442
140.0, -1064.537223
160.0, -1064.541275
180.0, -1064.545584
200.0, -1064.550143
220.0, -1064.554943
240.0, -1064.55998
260.0, -1064.565249
280.0, -1064.570749
300.0, -1064.576477
320.0, -1064.582431
340.0, -1064.588612
360.0, -1064.595017
380.0, -1064.601646
400.0, -1064.608499
420.0, -1064.615574
440.0, -1064.62287
460.0, -1064.630387
480.0, -1064.638122

